musicFeature,all,fifties,sixties,seventies,eighties,nineties,twoThousands,twentyTens
BPM,58.801109,70.42483676470589,56.92004068627451,59.01814460784313,59.169292647058825,57.90859803921568,59.4996181372549,58.81968970588235
Danceability,53.223493,51.777778,48.551948,52.083582,57.104167,51.024845,53.171429,54.629243
Speechiness,4.489605,6.222222,4.175325,4.534328,4.491071,4.118012,4.698701,4.637076
Length,47.744903,34.76368152985075,39.56193059701493,48.8778125,51.413690485074625,51.155325932835815,46.61707686567165,45.397198134328356
Valence,49.465177,72.0,53.357143,54.785075,57.33631,42.403727,46.033766,45.198433
Acousticness,29.148649,71.111111,40.896104,34.895522,25.616071,25.829193,25.971429,27.496084
Popularity,59.56237,66.222222,64.214286,62.438806,59.636905,59.425466,58.051948,56.587467
